"TFT in 2020 KEKW","2020-05-21 15:55:21","imaqtpie","soulform_","premium/1"
"Agreed. very watchable stream. :P","2020-05-21 15:55:21","teepee","indyburn","premium/1"
"yes","2020-05-21 15:55:21","drdisrespect","ViND53","subscriber/0,premium/1"
"!followage","2020-05-21 15:55:21","castro_1021","thecoconutbean","premium/1"
"go timmy go","2020-05-21 15:55:21","timthetatman","unhuman10","premium/1"
"@drdisrespect you have to restart your computer","2020-05-21 15:55:21","drdisrespect","samson_knows","subscriber/24"
"peepoRIP","2020-05-21 15:55:21","clintstevens","talesofholo","subscriber/3,premium/1"
"LULW","2020-05-21 15:55:22","sodapoppin","DQ_Joe","premium/1"
"Newest Video: The ARES is INSANE!? | Testing VALORANT Weapon Balances Patch 0.50 https://youtu.be/UBq6kZ2hH0w","2020-05-21 15:55:21","hiko","StreamElements","moderator/1,subscriber/9,partner/1"
"gg","2020-05-21 15:55:22","tfblade","thebesthammer","premium/1"
"gachiHYPER WHY NOT","2020-05-21 15:55:22","sodapoppin","str0xe22","premium/1"
"N OMEGALUL","2020-05-21 15:55:22","shiphtur","moltinatorr","subscriber/6"
"TFT KEKW","2020-05-21 15:55:22","imaqtpie","yeeeeeeeeeetmeister","none"
"duck my sick","2020-05-21 15:55:22","castro_1021","dadys_lil_monster","none"
"!watchtime","2020-05-21 15:55:22","hiko","whoatimmy","none"
"pepeMeltdown","2020-05-21 15:55:22","elajjaz","LeVincenteOG","none"
"imagine using sli in 2020","2020-05-21 15:55:22","timthetatman","vicktorfreeze","none"
"TRUE LULW","2020-05-21 15:55:22","hasanabi","MichiSkippy","subscriber/6"
"2","2020-05-21 15:55:22","wilbursoot","noahpyotr","none"
"!drop","2020-05-21 15:55:22","onscreen","krishanattre","premium/1"
"Bishop is elephant in most other languages?","2020-05-21 15:55:22","gmhikaru","TexChess","none"
"@Alvarito_44 ?","2020-05-21 15:55:22","gwbps_en","saadoun12","none"
"SLI is dead doc","2020-05-21 15:55:22","drdisrespect","Pikachuhulk","subscriber/6,overwatch-league-insider_1/1"
"what is it","2020-05-21 15:55:22","tfue","samfabian03","subscriber/6"
"reverse!","2020-05-21 15:55:22","natehill","JaizonIzRael","none"
"PepeLa","2020-05-21 15:55:22","hasanabi","mutazz0","subscriber/3,premium/1"
"no","2020-05-21 15:55:22","drdisrespect","GreenFoxLeader","subscriber/12"
"rank 10 PogU","2020-05-21 15:55:22","tfblade","2cthulu4school","none"
"lol","2020-05-21 15:55:22","hiko","thefalxon","none"
"one day do a round 100 but never speak in tribute to relaxing end","2020-05-21 15:55:22","mrtlexify","0shroom","none"
"ZOMBIES IN SPACELAND NOW","2020-05-21 15:55:22","mrtlexify","darkness_oc","none"
"Nick but u like kalvain n28Kappa1","2020-05-21 15:55:22","nick28t","keithfogart","subscriber/3"
"@Mozzcakes never!!","2020-05-21 15:55:22","teepee","TameButFierce","premium/1"
"perma fear","2020-05-21 15:55:22","tfblade","stfu_lol","subscriber/0"
"Same","2020-05-21 15:55:22","sodapoppin","OfficialFno","premium/1"
"never have been, prob never will","2020-05-21 15:55:22","drdisrespect","Willtall","subscriber/12"
"EZ4ENCEEZ4ENCE-------EZ4ENCEEZ4ENCEEZ4ENCE EZ4ENCEEZ4ENCE-------EZ4ENCEEZ4ENCEEZ4ENCE EZ4ENCE---------------------------------EZ4ENCE EZ4ENCEEZ4ENCE------------------EZ4ENCE EZ4ENCEEZ4ENCE--------------EZ4ENCE EZ4ENCE--------------------EZ4ENCE EZ4ENCEEZ4ENCE------EZ4ENCEEZ4ENCEEZ4ENCE EZ4ENCEEZ4ENCE------EZ4ENCEEZ4ENCEEZ4ENCE","2020-05-21 15:55:22","dreamhackcs","JesterGamesTV","glhf-pledge/1"
"correct","2020-05-21 15:55:22","drdisrespect","RedViking07","subscriber/6,premium/1"
"krishanattre you do not need to spam! Read this - https://beta.playvalorant.com/en-us/news/announcements/day-1-closed-beta-in-eu-na-and-moving-forward/","2020-05-21 15:55:22","onscreen","onscreenBOT","moderator/1,subscriber/54"
"ItsBoshyTime SeriousSloth ATTENTION ALL NAFFERS ItsBoshyTime SeriousSloth SIGNALLING ALL NAFFERS ItsBoshyTime SeriousSloth ..","2020-05-21 15:55:22","dreamhackcs","ramennoodlesplzz","none"
"@Psychobrahe Yes","2020-05-21 15:55:22","quin69","johnsonlite02","none"
"This update had my PC giving me that. Turn on Vsync is what google told me haha","2020-05-21 15:55:22","drdisrespect","DownTempoFox","subscriber/6,premium/1"
"turn scope up","2020-05-21 15:55:22","tfue","likemikejr","subscriber/0,premium/1"
"FeelsWeirdMan","2020-05-21 15:55:22","imaqtpie","DeviDayne","premium/1"
"Ok byeeeeeee then","2020-05-21 15:55:22","bandsintown","jlynova","none"
"GG","2020-05-21 15:55:22","tfblade","Kataz7","subscriber/12,premium/1"
"gachiHYPER","2020-05-21 15:55:22","elajjaz","Slakprince","none"
"5Head","2020-05-21 15:55:22","asmongold","Fimbulforge","subscriber/24"
"need cloak 4hed","2020-05-21 15:55:22","timthetatman","dverd96","subscriber/6,premium/1"
"@TitletownMatt that PC is trash LOL","2020-05-21 15:55:22","drdisrespect","m0orsc0de","subscriber/12"
"@thecoconutbean, thecoconutbean has been following castro_1021 for 6 years 19 days 5 hours","2020-05-21 15:55:22","castro_1021","StreamElements","moderator/1,partner/1"
"@xequity I said***","2020-05-21 15:55:22","tfue","chrispbacon619","subscriber/0,premium/1"
"Hahahahaha n28CRLOL","2020-05-21 15:55:22","nick28t","kreevz08","subscriber/0,sub-gifter/1"
"AYAYA losing your flower","2020-05-21 15:55:22","elajjaz","cbdg","none"
"KEKW","2020-05-21 15:55:22","hasanabi","electricrelaxation","subscriber/3,premium/1"
"This background is Hiko's was of slowly opening up up about his actual weeb room.","2020-05-21 15:55:22","hiko","ProfessorPeach","none"
"WAYTOODANK my head hurts","2020-05-21 15:55:22","gmhikaru","jendrina22","moderator/1,subscriber/0,glhf-pledge/1"
"Heat gun him","2020-05-21 15:55:22","sodapoppin","JetLance","subscriber/3,premium/1"
"did faded ge tban","2020-05-21 15:55:22","johnnyboi_i","skillsrl","none"
"gachiHYPER ofc","2020-05-21 15:55:22","elajjaz","kapp_sure","subscriber/6,bits/100"
"PepeHands balls gone","2020-05-21 15:55:22","sodapoppin","KaJtEk8","premium/1"
"1 million dollar computer BTW","2020-05-21 15:55:23","timthetatman","BUDMADEMEWISER","subscriber/12,sub-gifter/50"
"can u make lava pools?","2020-05-21 15:55:22","giantwaffle","rsmyune","none"
"Chat what did doc and Tim get on Valorant?","2020-05-21 15:55:23","timthetatman","stuartmc1101","premium/1"
